HOURBEGINNING_TIME,DAY
2022/4/18 23:00,76.47 
2022/4/18 22:00,81.38 
2022/4/18 21:00,92.32 
2022/4/18 20:00,81.35 
2022/4/18 19:00,77.96 
2022/4/18 18:00,80.15 
2022/4/18 17:00,128.64 
2022/4/18 16:00,151.84 
2022/4/18 15:00,92.92 
2022/4/18 14:00,102.50 
2022/4/18 13:00,120.57 
2022/4/18 12:00,196.93 
2022/4/18 11:00,142.89 
2022/4/18 10:00,247.03 
2022/4/18 9:00,216.13 
2022/4/18 8:00,167.68 
2022/4/18 7:00,121.74 
2022/4/18 6:00,79.26 
2022/4/18 5:00,95.88 
2022/4/18 4:00,65.42 
2022/4/18 3:00,58.02 
2022/4/18 2:00,59.37 
2022/4/18 1:00,64.54 
2022/4/18 0:00,58.31 
2022/4/17 23:00,61.25 
2022/4/17 22:00,68.12 
2022/4/17 21:00,64.05 
2022/4/17 20:00,69.44 
2022/4/17 19:00,55.27 
2022/4/17 18:00,54.30 
2022/4/17 17:00,45.20 
2022/4/17 16:00,48.01 
2022/4/17 15:00,49.47 
2022/4/17 14:00,51.54 
2022/4/17 13:00,52.81 
2022/4/17 12:00,51.65 
2022/4/17 11:00,52.40 
2022/4/17 10:00,50.81 
2022/4/17 9:00,51.18 
2022/4/17 8:00,58.53 
2022/4/17 7:00,53.65 
2022/4/17 6:00,49.40 
2022/4/17 5:00,46.02 
2022/4/17 4:00,46.37 
2022/4/17 3:00,48.04 
2022/4/17 2:00,48.19 
2022/4/17 1:00,44.73 
2022/4/17 0:00,45.23 
2022/4/16 23:00,57.21 
2022/4/16 22:00,79.27 
2022/4/16 21:00,68.25 
2022/4/16 20:00,64.71 
2022/4/16 19:00,51.52 
2022/4/16 18:00,45.79 
2022/4/16 17:00,44.54 
2022/4/16 16:00,46.65 
2022/4/16 15:00,44.99 
2022/4/16 14:00,45.95 
2022/4/16 13:00,48.19 
2022/4/16 12:00,48.46 
2022/4/16 11:00,49.70 
2022/4/16 10:00,56.44 
2022/4/16 9:00,59.98 
2022/4/16 8:00,111.29 
2022/4/16 7:00,52.74 
2022/4/16 6:00,47.42 
2022/4/16 5:00,59.33 
2022/4/16 4:00,51.16 
2022/4/16 3:00,47.10 
2022/4/16 2:00,50.38 
2022/4/16 1:00,53.13 
2022/4/16 0:00,46.73 
2022/4/15 23:00,49.67 
2022/4/15 22:00,59.76 
2022/4/15 21:00,58.50 
2022/4/15 20:00,60.42 
2022/4/15 19:00,64.20 
2022/4/15 18:00,61.81 
2022/4/15 17:00,58.49 
2022/4/15 16:00,51.26 
2022/4/15 15:00,49.90 
2022/4/15 14:00,50.42 
2022/4/15 13:00,48.90 
2022/4/15 12:00,45.47 
2022/4/15 11:00,47.95 
2022/4/15 10:00,49.38 
2022/4/15 9:00,63.04 
2022/4/15 8:00,53.56 
2022/4/15 7:00,65.27 
2022/4/15 6:00,53.97 
2022/4/15 5:00,50.69 
2022/4/15 4:00,45.14 
2022/4/15 3:00,45.51 
2022/4/15 2:00,45.15 
2022/4/15 1:00,48.89 
2022/4/15 0:00,46.61 
2022/4/14 23:00,48.29 
2022/4/14 22:00,58.19 
2022/4/14 21:00,73.06 
2022/4/14 20:00,61.45 
2022/4/14 19:00,49.34 
2022/4/14 18:00,52.62 
2022/4/14 17:00,58.59 
2022/4/14 16:00,57.99 
2022/4/14 15:00,70.77 
2022/4/14 14:00,75.35 
2022/4/14 13:00,61.93 
2022/4/14 12:00,65.97 
2022/4/14 11:00,61.26 
2022/4/14 10:00,82.37 
2022/4/14 9:00,144.83 
2022/4/14 8:00,72.51 
2022/4/14 7:00,64.15 
2022/4/14 6:00,50.96 
2022/4/14 5:00,50.44 
2022/4/14 4:00,44.03 
2022/4/14 3:00,43.61 
2022/4/14 2:00,44.70 
2022/4/14 1:00,49.88 
2022/4/14 0:00,51.37 
2022/4/13 23:00,57.11 
2022/4/13 22:00,84.76 
2022/4/13 21:00,70.66 
2022/4/13 20:00,79.08 
2022/4/13 19:00,75.27 
2022/4/13 18:00,74.32 
2022/4/13 17:00,178.62 
2022/4/13 16:00,72.80 
2022/4/13 15:00,62.15 
2022/4/13 14:00,61.10 
2022/4/13 13:00,66.83 
2022/4/13 12:00,62.57 
2022/4/13 11:00,58.83 
2022/4/13 10:00,81.00 
2022/4/13 9:00,58.43 
2022/4/13 8:00,53.64 
2022/4/13 7:00,60.63 
2022/4/13 6:00,60.63 
2022/4/13 5:00,46.78 
2022/4/13 4:00,40.23 
2022/4/13 3:00,37.72 
2022/4/13 2:00,38.52 
2022/4/13 1:00,40.66 
2022/4/13 0:00,41.48 
2022/4/12 23:00,50.45 
2022/4/12 22:00,58.02 
2022/4/12 21:00,70.01 
2022/4/12 20:00,84.28 
2022/4/12 19:00,71.49 
2022/4/12 18:00,83.84 
2022/4/12 17:00,75.78 
2022/4/12 16:00,62.98 
2022/4/12 15:00,59.17 
2022/4/12 14:00,58.89 
2022/4/12 13:00,58.94 
2022/4/12 12:00,55.61 
2022/4/12 11:00,51.86 
2022/4/12 10:00,61.11 
2022/4/12 9:00,72.75 
2022/4/12 8:00,83.09 
2022/4/12 7:00,79.76 
2022/4/12 6:00,70.95 
2022/4/12 5:00,48.27 
2022/4/12 4:00,45.69 
2022/4/12 3:00,43.34 
2022/4/12 2:00,45.20 
2022/4/12 1:00,49.09 
2022/4/12 0:00,45.67 
2022/4/11 23:00,50.65 
2022/4/11 22:00,66.24 
2022/4/11 21:00,76.99 
2022/4/11 20:00,70.59 
2022/4/11 19:00,69.85 
2022/4/11 18:00,68.45 
2022/4/11 17:00,101.92 
2022/4/11 16:00,68.46 
2022/4/11 15:00,61.70 
2022/4/11 14:00,58.57 
2022/4/11 13:00,80.31 
2022/4/11 12:00,69.47 
2022/4/11 11:00,68.71 
2022/4/11 10:00,118.59 
2022/4/11 9:00,87.99 
2022/4/11 8:00,63.25 
2022/4/11 7:00,125.21 
2022/4/11 6:00,104.80 
2022/4/11 5:00,90.57 
2022/4/11 4:00,61.58 
2022/4/11 3:00,46.91 
2022/4/11 2:00,43.35 
2022/4/11 1:00,43.25 
2022/4/11 0:00,43.69 
2022/4/10 23:00,55.94 
2022/4/10 22:00,49.59 
2022/4/10 21:00,75.07 
2022/4/10 20:00,61.74 
2022/4/10 19:00,99.43 
2022/4/10 18:00,53.16 
2022/4/10 17:00,45.80 
2022/4/10 16:00,43.95 
2022/4/10 15:00,43.54 
2022/4/10 14:00,45.02 
2022/4/10 13:00,46.72 
2022/4/10 12:00,59.94 
2022/4/10 11:00,50.52 
2022/4/10 10:00,54.73 
2022/4/10 9:00,54.93 
2022/4/10 8:00,54.31 
2022/4/10 7:00,61.40 
2022/4/10 6:00,65.92 
2022/4/10 5:00,67.02 
2022/4/10 4:00,60.51 
2022/4/10 3:00,62.36 
2022/4/10 2:00,57.98 
2022/4/10 1:00,55.59 
2022/4/10 0:00,53.77 
2022/4/9 23:00,101.38 
2022/4/9 22:00,118.03 
2022/4/9 21:00,129.50 
2022/4/9 20:00,92.80 
2022/4/9 19:00,75.01 
2022/4/9 18:00,69.14 
2022/4/9 17:00,83.84 
2022/4/9 16:00,76.11 
2022/4/9 15:00,70.69 
2022/4/9 14:00,78.63 
2022/4/9 13:00,61.18 
2022/4/9 12:00,57.71 
2022/4/9 11:00,68.95 
2022/4/9 10:00,72.63 
2022/4/9 9:00,75.31 
2022/4/9 8:00,65.72 
2022/4/9 7:00,61.68 
2022/4/9 6:00,68.41 
2022/4/9 5:00,59.52 
2022/4/9 4:00,68.92 
2022/4/9 3:00,63.74 
2022/4/9 2:00,58.87 
2022/4/9 1:00,68.48 
2022/4/9 0:00,59.55 
2022/3/21 6:00,118.14 
2022/3/21 5:00,35.45 
2022/3/21 4:00,32.89 
2022/3/21 3:00,29.41 
2022/3/21 2:00,32.70 
2022/3/21 1:00,31.00 
2022/3/21 0:00,37.49 
2022/3/20 23:00,39.06 
2022/3/20 22:00,41.55 
2022/3/20 21:00,50.48 
2022/3/20 20:00,64.34 
2022/3/20 19:00,127.24 
2022/3/20 18:00,36.65 
2022/3/20 17:00,30.38 
2022/3/20 16:00,30.62 
2022/3/20 15:00,35.15 
2022/3/20 14:00,36.63 
2022/3/20 13:00,34.16 
2022/3/20 12:00,32.94 
2022/3/20 11:00,36.49 
2022/3/20 10:00,46.99 
2022/3/20 9:00,33.15 
2022/3/20 8:00,38.86 
2022/3/20 7:00,68.28 
2022/3/20 6:00,36.99 
2022/3/20 5:00,30.90 
2022/3/20 4:00,30.18 
2022/3/20 3:00,30.55 
2022/3/20 2:00,30.78 
2022/3/20 1:00,34.58 
2022/3/20 0:00,49.68 
2022/3/19 23:00,34.83 
2022/3/19 22:00,34.96 
2022/3/19 21:00,45.61 
2022/3/19 20:00,52.05 
2022/3/19 19:00,40.48 
2022/3/19 18:00,35.55 
2022/3/19 17:00,36.40 
2022/3/19 16:00,32.19 
2022/3/19 15:00,31.19 
2022/3/19 14:00,32.01 
2022/3/19 13:00,32.74 
2022/3/19 12:00,33.69 
2022/3/19 11:00,37.74 
2022/3/19 10:00,39.61 
2022/3/19 9:00,37.60 
2022/3/19 8:00,36.71 
2022/3/19 7:00,39.35 
2022/3/19 6:00,27.58 
2022/3/19 5:00,27.19 
2022/3/19 4:00,29.27 
2022/3/19 3:00,30.60 
2022/3/19 2:00,35.00 
2022/3/19 1:00,37.93 
2022/3/19 0:00,31.14 
2022/3/18 23:00,36.49 
2022/3/18 22:00,35.53 
2022/3/18 21:00,35.67 
2022/3/18 20:00,41.73 
2022/3/18 19:00,44.54 
2022/3/18 18:00,37.39 
2022/3/18 17:00,42.35 
2022/3/18 16:00,43.15 
2022/3/18 15:00,40.62 
2022/3/18 14:00,41.34 
2022/3/18 13:00,50.50 
2022/3/18 12:00,41.84 
2022/3/18 11:00,37.74 
2022/3/18 10:00,35.15 
2022/3/18 9:00,41.83 
2022/3/18 8:00,41.30 
2022/3/18 7:00,47.25 
2022/3/18 6:00,59.88 
2022/3/18 5:00,36.03 
2022/3/18 4:00,30.97 
2022/3/18 3:00,30.77 
